25 242
21 4 868.56
25 23 211.193
16 8 92.6388
14 7 179.847
14 25 918.207
25 4 695.805
24 3 464.961
20 21 284.148
4 1 403.891
3 23 613.173
20 22 920.113
13 17 765.011
1 10 814.164
6 24 653.105
17 10 726.431
12 10 404.204
17 5 163.339
8 18 764.389
1 8 264.846
22 2 142.149
3 25 789.52
21 18 119.175
8 20 911.213
13 1 636.061
11 4 365.296
6 20 48.1678
20 1 178.398
11 13 438.67
12 13 619.461
20 18 883.04
19 21 263.984
18 17 1.7057
17 18 155.107
17 3 436.792
13 20 920.354
15 9 840.687
15 21 213.859
1 19 787.396
7 21 484.719
24 18 395.16
23 11 919.92
15 14 150.735
4 20 142.322
6 7 776.345
22 25 243.111
9 21 286.838
7 1 891.093
6 9 870.07
5 22 240.04
24 16 746.742
12 25 336.593
2 21 760.854
14 19 879.506
18 8 651.627
19 10 722.58
15 10 198.745
2 11 50.7921
9 14 568.111
20 9 895.65
4 15 378.112
9 10 154.695
24 20 417.673
8 22 506.392
16 5 113.765
16 12 251.452
9 17 507.648
19 25 431.52
19 3 875.074
6 13 875.804
14 4 482.062
21 12 515.809
12 2 819.273
12 16 101.387
13 25 939.729
20 25 783.611
10 22 651.339
3 9 382.791
22 7 42.2572
21 17 413.157
19 23 126.676
5 25 252.251
3 4 270.366
4 21 833.521
2 15 601.289
14 1 138.157
18 22 511.576
16 11 335.914
5 13 131.481
11 10 71.928
20 6 37.8523
4 7 175.551
13 6 788.701
11 25 46.6682
21 23 288.754
24 2 470.23
7 13 521.294
9 23 863.052
1 3 155.357
10 6 231.024
7 11 471.744
3 6 125.694
13 24 915.746
24 17 551.2
19 2 416.836
6 14 338.032
9 1 387.782
2 23 161.23
7 19 123.653
17 13 431.887
10 14 688.731
19 16 180.397
8 5 369.282
10 9 599.594
21 20 641.514
3 10 891.211
12 20 290.469
13 23 417.424
13 12 724.558
8 3 487.168
10 13 834.379
21 10 762.038
23 17 521.053
10 4 778.117
5 14 909.968
9 25 900.442
7 22 14.8598
14 10 596.576
20 15 456.573
8 1 451.086
23 6 185.716
22 23 185.974
12 6 140.916
5 6 217.558
20 11 453.094
11 16 176.424
15 23 696.588
25 9 420.315
18 3 678.029
7 5 391.371
12 7 39.372
16 20 681.767
21 3 310.965
8 17 305.027
20 13 107.665
1 7 890.7
3 13 329.555
15 8 226.792
25 12 204.222
25 16 523.934
5 17 286.09
10 16 351.739
4 25 737.473
1 23 848.761
24 23 16.3436
3 20 250.396
4 17 279.282
4 22 691.378
6 3 480.895
17 1 473.407
1 20 274.123
23 10 854.286
2 5 492.305
1 11 713.311
18 13 242.785
12 11 867.533
7 16 895.881
22 16 772.27
13 15 492.939
5 7 229.335
15 13 296.75
25 6 683.187
19 13 308.632
12 8 56.2341
14 2 835.933
2 24 499.784
8 21 61.9035
21 6 692.542
18 4 186.303
17 11 496.851
24 25 135.529
11 7 791.301
13 3 869.666
4 2 165.453
18 10 591.517
21 5 770.23
10 2 265.557
14 23 399.127
16 17 172.586
16 13 279.305
21 11 343.951
1 21 943.701
5 3 472.078
10 5 189.194
22 13 195.029
9 16 912.565
22 24 375.77
19 5 257.355
25 11 540.406
14 15 904.028
4 11 543.106
25 14 288.397
19 14 232.015
18 21 638.867
8 4 845.456
25 17 163.276
19 1 59.0415
15 4 845.592
3 17 6.98187
5 12 353.16
13 4 321.366
17 6 360.221
15 11 696.817
13 22 114.787
18 15 224.375
6 12 368.234
1 15 716.438
7 17 277.823
2 16 452.858
7 25 790.401
23 19 740.985
9 6 559.707
23 3 358.82
23 22 843.468
9 7 631.842
1 2 407.249
20 8 471.082
5 11 404.97
10 3 744.396
15 25 451.087
19 18 608.122
18 2 611.99
16 1 506.764
2 8 305.816
13 21 694.476
18 7 928.903
19 9 654.648
3 18 585.52
2 20 439.579
11 18 86.1904
2 7 65.3745
4 14 268.765
7 12 463.04
1
3
6
7
4 7 2
4 5 3
4 17 12
4 5 7
4 7 9
4 24 3
1
2
6
7
4 7 2
4 5 3
4 17 12
4 5 7
4 7 9
4 24 3
8
