20 100
12 19 57
16 7 15
13 1 92
10 5 82
18 15 26
1 11 81
2 5 87
9 16 13
7 4 73
8 2 29
5 9 12
12 0 67
17 16 100
3 1 89
19 7 94
17 13 9
16 0 57
13 8 56
5 11 68
14 3 88
3 4 3
2 12 46
14 2 44
19 18 65
4 5 44
18 6 80
10 12 1
13 4 7
18 1 27
15 3 65
9 8 53
10 3 28
18 16 88
3 4 3
10 16 82
10 8 28
19 14 32
5 13 53
12 8 5
18 6 90
16 3 94
5 19 47
6 3 20
9 4 18
7 1 45
4 0 64
15 17 61
17 16 93
6 8 85
9 17 29
15 13 69
17 7 92
12 13 55
16 18 8
9 18 70
4 15 83
15 4 3
16 13 7
16 6 95
2 17 36
13 0 59
17 0 51
12 8 33
1 14 60
15 7 31
15 3 85
4 3 22
4 1 7
6 4 42
2 16 64
2 9 38
2 0 85
19 3 58
18 11 28
15 8 49
4 17 72
7 1 8
18 12 34
17 4 23
5 7 18
16 2 56
13 5 35
9 8 100
17 2 100
19 12 73
14 11 84
16 18 96
3 7 94
14 6 92
7 9 15
15 18 19
5 8 39
3 17 40
14 1 38
11 6 48
6 13 34
16 7 82
3 12 29
13 15 11
4 16 67
10 0
