30 70
15 23 11
19 15 6
20 16 93
13 11 95
26 12 20
10 17 34
24 22 34
5 11 84
19 22 55
1 22 64
19 13 52
16 8 51
28 1 64
26 3 26
2 14 87
28 19 79
21 24 9
0 12 67
6 7 81
20 15 43
3 7 88
8 15 11
26 2 98
1 13 28
7 21 3
0 3 24
5 14 79
0 21 93
4 5 16
8 29 8
4 17 6
17 14 75
27 5 85
7 20 39
20 21 19
11 29 63
29 14 2
4 14 39
20 25 46
1 10 16
22 21 7
21 5 96
26 13 5
26 15 30
4 27 76
0 23 78
18 26 88
18 1 44
12 25 50
17 8 7
17 5 99
24 10 68
12 10 67
20 13 45
28 0 22
7 29 22
13 25 46
0 13 86
5 18 28
21 12 90
2 23 5
20 9 90
6 24 3
1 26 25
9 28 51
12 18 89
11 12 34
10 14 81
26 5 19
23 12 26
6 25
