1000 4981
0 163 229
0 252 799
0 310 355
0 633 180
0 693 568
1 371 152
2 917 119
3 485 543
3 614 463
4 428 743
5 248 -362
5 442 61
5 465 731
5 650 127
5 703 211
5 933 365
6 420 72
6 456 815
6 622 630
6 882 199
7 208 667
7 421 524
7 495 15
7 831 -444
7 893 -316
8 374 469
8 421 779
8 509 991
8 514 189
8 649 530
10 113 602
10 304 1000
10 323 146
10 986 276
11 89 206
11 167 274
11 191 333
11 299 796
11 712 324
11 721 903
11 960 887
12 159 713
12 180 112
12 276 716
12 322 469
13 110 785
13 127 220
13 231 941
13 371 576
13 498 721
13 639 699
13 660 587
14 36 363
14 126 256
14 148 4
14 461 374
14 543 445
14 559 662
15 724 78
16 108 876
16 335 229
16 523 76
16 833 210
16 876 223
17 425 720
17 754 145
17 809 395
17 863 666
18 86 -461
18 170 899
18 189 553
18 351 520
18 618 -147
19 16 658
19 34 539
19 377 792
19 573 567
19 764 127
19 819 276
19 929 955
20 28 12
20 53 280
20 323 195
20 556 974
20 587 661
21 103 3
21 116 251
21 382 259
22 14 322
22 261 663
22 287 668
22 501 300
22 635 17
22 939 205
23 29 75
23 386 572
24 159 748
24 186 863
24 303 929
24 469 824
25 202 61
25 276 84
25 436 101
26 218 870
26 230 120
26 254 383
26 528 323
27 854 734
27 909 142
28 127 227
28 923 835
28 981 326
29 460 189
29 489 717
29 672 598
30 82 637
30 219 -467
30 361 271
30 383 30
30 614 524
30 735 392
31 95 412
31 144 282
31 437 442
32 111 475
32 288 336
32 551 126
32 585 314
32 689 348
32 822 58
33 205 881
33 358 218
33 374 126
33 379 18
33 755 336
33 946 717
33 981 237
34 329 32
34 542 -287
34 774 568
34 900 607
34 907 166
34 917 66
35 725 507
36 410 139
36 457 394
36 532 400
36 568 594
36 828 16
36 898 769
37 483 192
37 924 637
38 14 148
38 595 858
38 613 557
38 737 130
38 807 205
39 61 823
39 171 514
39 208 129
39 256 254
39 495 573
39 548 763
39 688 80
40 63 370
40 193 781
40 450 3
40 622 466
40 761 1
40 916 805
40 989 823
41 165 47
41 217 992
41 402 588
41 413 130
41 631 -384
42 100 587
42 199 512
42 833 302
42 876 24
42 973 306
43 181 513
43 612 -479
44 57 932
44 187 790
44 694 92
44 831 784
45 169 222
45 509 -279
45 802 375
46 173 852
46 306 362
46 570 337
46 583 971
46 823 699
46 879 83
47 220 296
47 278 587
47 466 470
47 514 959
47 624 763
47 718 561
47 826 81
48 875 711
48 935 672
48 994 567
49 380 -423
49 765 971
50 14 732
50 112 468
50 129 717
50 132 184
50 142 503
50 323 66
50 618 879
51 73 162
51 416 265
51 460 419
51 532 204
51 547 553
51 836 107
51 868 -174
51 939 946
52 64 702
52 211 578
52 365 627
52 689 -2
52 841 560
52 956 -463
53 32 748
53 227 612
53 448 -374
53 509 91
53 628 235
54 126 689
54 238 506
54 468 999
54 976 965
55 11 35
55 109 961
55 916 597
56 9 486
56 829 462
56 845 594
57 433 -81
57 867 388
58 318 486
58 384 101
58 479 30
58 535 578
59 63 132
59 305 140
59 698 40
59 711 788
60 763 761
61 416 590
61 636 400
61 817 140
61 860 121
61 891 525
62 145 479
62 532 544
63 221 135
63 708 841
63 742 3
63 917 590
63 933 913
64 92 562
64 100 883
64 364 804
64 428 -54
64 671 60
64 695 543
64 900 293
65 132 369
65 224 846
65 406 532
65 443 534
65 639 298
65 695 672
66 27 156
66 58 378
66 343 -372
66 815 473
67 45 626
67 154 487
67 283 581
67 350 42
67 523 791
67 559 841
67 596 555
68 141 427
68 252 100
68 264 -162
68 317 100
68 476 -100
68 563 330
68 679 -60
68 742 58
68 746 716
68 930 778
69 0 691
69 149 187
69 284 -142
69 346 147
69 833 195
69 906 62
70 90 998
70 490 943
70 560 -109
70 667 -21
70 734 794
71 16 72
71 459 27
71 484 158
71 809 507
71 939 117
71 989 963
72 428 827
72 500 13
72 658 480
72 994 927
73 173 18
73 207 -462
73 272 -32
74 32 182
74 883 948
75 164 -241
75 369 677
75 404 -346
75 564 327
75 619 224
75 691 889
76 19 318
76 93 18
76 479 21
76 738 867
76 787 685
77 517 -51
77 535 -381
77 746 593
77 793 920
78 20 246
78 34 492
78 286 697
78 307 296
78 611 991
78 944 888
79 167 531
79 246 865
79 418 471
79 880 920
79 933 891
80 193 120
80 245 1000
80 279 947
80 326 774
80 970 903
81 64 -393
81 111 971
81 153 309
81 768 383
81 883 106
81 907 648
82 478 929
82 568 962
82 752 86
82 801 639
83 21 754
83 788 674
84 123 110
84 245 903
84 381 133
84 530 587
84 733 749
84 860 864
84 876 -432
85 137 122
85 594 699
85 760 788
85 805 460
85 821 844
86 69 453
86 407 374
86 491 -277
86 495 61
86 503 332
86 531 -179
86 662 539
86 744 844
86 769 902
87 348 869
87 772 591
87 915 341
88 180 600
88 293 363
88 629 85
88 711 159
88 879 192
89 103 351
89 736 -476
89 773 424
89 807 694
89 854 801
90 42 355
90 194 148
90 473 -116
90 740 450
91 115 528
91 623 304
91 815 344
92 55 903
92 125 615
93 317 50
93 353 76
93 690 436
94 174 145
94 185 37
94 405 335
94 472 324
94 480 1
94 565 893
94 695 62
94 812 981
94 889 509
95 131 620
95 271 644
95 656 128
95 812 685
96 200 176
96 305 568
96 381 776
96 469 374
96 864 597
97 125 -90
97 236 939
97 243 650
97 482 442
97 577 38
97 995 380
98 382 389
98 548 -311
98 598 321
98 622 40
98 765 45
98 947 695
99 193 59
99 243 318
99 355 494
99 680 -31
99 893 942
100 185 -298
100 260 729
100 332 160
100 561 915
100 924 -373
101 272 103
101 504 -410
101 512 623
101 583 881
101 591 353
102 13 766
102 97 173
102 376 947
102 776 920
102 812 335
102 913 541
103 43 308
103 60 358
103 301 -368
103 360 167
103 568 704
103 608 -214
103 770 965
103 799 894
104 118 809
104 166 331
104 243 480
104 361 8
104 834 100
104 966 83
104 990 578
105 50 786
105 294 259
105 415 752
105 695 874
105 951 -404
106 186 914
106 467 554
106 577 -278
106 585 829
106 611 562
106 742 141
106 835 -385
107 300 806
107 482 747
107 488 116
107 495 128
107 603 924
107 727 26
107 746 359
